id,Names,Surnames,Age,Email,Worktimes,Schedules,Studies level,Pets,Cooking,Sport,Smoking,Organized
1,Antonio,Walker ,18,AntonioWalker @gmail.com,both of them,night,secondary,No,Yes,Yes,Yes,No
2,Luna,Williams,30,LunaWilliams@gmail.com,night,night,university,No,No,No,No,No
3,George,Williams,23,GeorgeWilliams@gmail.com,both of them,night,university,Yes,No,No,No,No
4,Josephine,Walker ,21,JosephineWalker @gmail.com,night,morning,secondary,Yes,Yes,No,No,Yes
5,Marie,Thomas ,18,MarieThomas @gmail.com,morning,night,university,Yes,Yes,No,Yes,No
6,Luna,Davies ,26,LunaDavies @gmail.com,night,night,university,Yes,Yes,No,No,No
7,George,Davies ,29,GeorgeDavies @gmail.com,night,morning,secondary,Yes,Yes,No,Yes,No
8,Mario,Brown,21,MarioBrown@gmail.com,both of them,morning,secondary,No,No,Yes,No,No
9,Nick,Hughes ,20,NickHughes @gmail.com,night,morning,university,No,No,Yes,No,No
10,Nick,Wright,25,NickWright@gmail.com,morning,morning,secondary,Yes,No,Yes,Yes,No
11,Maria,White,20,MariaWhite@gmail.com,morning,night,secondary,No,Yes,No,No,No
12,Derek,Wright,29,DerekWright@gmail.com,both of them,morning,university,Yes,Yes,No,No,No
13,Nick,Roberts ,18,NickRoberts @gmail.com,morning,night,university,Yes,Yes,Yes,No,Yes
14,LouisaLoren,Bush,33,LouisaLorenBush@gmail.com,both of them,night,university,Yes,Yes,Yes,Yes,Yes
15,Marie,Edwards ,27,MarieEdwards @gmail.com,morning,morning,university,Yes,No,No,No,Yes
16,Luna,Bush,23,LunaBush@gmail.com,morning,night,university,No,No,No,No,No
17,Lucas,Thompson ,30,LucasThompson @gmail.com,both of them,night,university,Yes,Yes,No,No,No
18,Maria,Davies ,30,MariaDavies @gmail.com,both of them,morning,secondary,No,No,No,Yes,No
19,Derek,Edwards ,28,DerekEdwards @gmail.com,night,night,university,Yes,Yes,No,Yes,Yes
20,Antonio,Thomas ,32,AntonioThomas @gmail.com,night,night,university,Yes,Yes,Yes,No,Yes
21,Maria,Thompson ,25,MariaThompson @gmail.com,both of them,morning,secondary,Yes,Yes,No,No,No
22,George,Davies ,21,GeorgeDavies @gmail.com,night,morning,secondary,Yes,Yes,Yes,Yes,Yes
23,Jorge,Taylor,29,JorgeTaylor@gmail.com,night,morning,university,No,Yes,Yes,No,Yes
24,Anthony,Lee ,21,AnthonyLee @gmail.com,both of them,morning,secondary,No,Yes,Yes,No,Yes
25,Albert,Roberts ,32,AlbertRoberts @gmail.com,night,morning,secondary,Yes,Yes,Yes,Yes,Yes
26,George,Thompson ,22,GeorgeThompson @gmail.com,night,morning,secondary,Yes,Yes,No,No,Yes
27,Miguel,Thomas ,34,MiguelThomas @gmail.com,both of them,morning,secondary,Yes,No,Yes,Yes,No
28,Mario,Smith,26,MarioSmith@gmail.com,night,morning,secondary,Yes,Yes,No,No,Yes
29,Maria,Taylor,34,MariaTaylor@gmail.com,morning,morning,university,No,Yes,Yes,Yes,No
30,Mario,Evans ,30,MarioEvans @gmail.com,night,night,secondary,Yes,Yes,Yes,Yes,No
31,John,Johnson,34,JohnJohnson@gmail.com,both of them,morning,university,Yes,Yes,Yes,Yes,Yes
